iter	Passed	Remaining
0	12	12501
1	14	7079
2	14	4964
3	15	3879
4	16	3235
5	16	2798
6	17	2475
7	18	2234
8	18	2049
9	19	1904
10	22	2065
11	23	1947
12	24	1853
13	25	1777
14	26	1707
15	26	1640
16	27	1587
17	28	1532
18	28	1481
19	29	1440
20	30	1405
21	31	1380
22	32	1361
23	32	1330
24	33	1298
25	33	1266
26	34	1238
27	35	1228
28	36	1206
29	36	1185
30	37	1166
31	37	1146
32	38	1129
33	39	1111
34	39	1093
35	40	1075
36	40	1059
37	41	1044
38	41	1030
39	42	1016
40	43	1006
41	44	1005
42	44	995
43	45	984
44	45	973
45	46	962
46	46	952
47	47	942
48	49	958
49	50	960
50	51	952
51	52	952
52	53	956
53	54	952
54	55	947
55	55	941
56	56	939
57	57	936
58	58	932
59	59	926
60	59	921
61	60	919
62	61	917
63	62	914
64	63	910
65	64	905
66	64	901
67	65	895
68	65	888
69	66	882
70	67	877
71	67	872
72	68	866
73	68	860
74	69	854
75	69	849
76	70	844
77	71	839
78	72	839
79	72	837
80	74	847
81	75	844
82	75	837
83	76	832
84	77	829
85	77	825
86	78	821
87	78	817
88	79	812
89	80	809
90	80	805
91	81	801
92	81	797
93	82	792
94	82	788
95	83	784
96	83	780
97	84	777
98	85	776
99	86	775
100	86	772
101	87	769
102	87	765
103	88	762
104	89	758
105	89	755
106	90	755
107	91	754
108	92	752
109	93	754
110	93	751
111	94	747
112	94	744
113	95	741
114	95	738
115	96	735
116	96	731
117	97	729
118	98	727
119	98	725
120	99	722
121	99	719
122	100	716
123	101	714
124	101	711
125	102	709
126	102	705
127	103	703
128	104	702
129	104	699
130	105	696
131	105	694
132	106	691
133	106	689
134	107	686
135	107	684
136	108	681
137	108	679
138	109	677
139	109	674
140	110	672
141	110	669
142	111	666
143	111	664
144	112	662
145	113	661
146	113	658
147	114	656
148	114	655
149	115	653
150	115	651
151	116	649
152	116	647
153	117	645
154	118	646
155	119	646
156	120	645
157	120	643
158	121	642
159	121	640
160	122	637
161	122	635
162	123	633
163	123	631
164	124	629
165	124	627
166	125	626
167	126	625
168	126	623
169	127	622
170	128	621
171	128	619
172	129	618
173	129	616
174	130	614
175	130	612
176	131	611
177	131	609
178	132	607
179	133	606
180	133	604
181	134	602
182	134	601
183	135	599
184	135	597
185	136	596
186	136	594
187	137	592
188	137	591
189	138	589
190	139	589
191	140	589
192	140	588
193	141	586
194	141	585
195	142	584
196	142	582
197	143	581
198	144	579
199	144	578
200	146	581
201	147	581
202	148	581
203	148	580
204	149	578
205	149	577
206	150	575
207	150	574
208	151	573
209	151	571
210	152	570
211	153	568
212	153	567
213	154	566
214	154	565
215	155	564
216	156	563
217	156	561
218	157	560
219	157	559
220	158	558
221	159	557
222	159	555
223	160	554
224	160	553
225	161	553
226	162	552
227	162	550
228	163	549
229	163	548
230	164	547
231	164	545
232	165	544
233	165	543
234	166	541
235	166	540
236	167	539
237	168	538
238	169	538
239	169	537
240	170	536
241	170	535
242	171	534
243	171	532
244	172	531
245	172	530
246	173	528
247	174	527
248	174	526
249	175	525
250	175	524
251	176	523
252	176	522
253	177	521
254	177	519
255	178	518
256	179	517
257	179	516
258	180	515
259	180	513
260	181	513
261	182	513
262	183	513
263	183	512
264	184	511
265	184	510
266	185	509
267	186	508
268	186	506
269	187	505
270	187	504
271	188	503
272	188	502
273	189	501
274	189	500
275	190	499
276	190	498
277	191	496
278	191	495
279	192	494
280	192	493
281	193	492
282	194	491
283	194	490
284	195	489
285	198	494
286	199	495
287	200	495
288	200	494
289	201	493
290	202	492
291	202	491
292	203	491
293	204	490
294	204	489
295	205	488
296	206	487
297	206	487
298	207	486
299	208	485
300	208	484
301	209	483
302	209	482
303	210	481
304	210	480
305	211	480
306	213	482
307	214	482
308	215	481
309	215	480
310	216	479
311	217	478
312	217	477
313	218	477
314	219	476
315	219	475
316	220	474
317	221	474
318	221	472
319	222	471
320	222	470
321	223	470
322	224	470
323	224	469
324	225	468
325	226	467
326	226	466
327	227	465
328	227	464
329	228	463
330	228	462
331	229	461
332	230	460
333	230	460
334	231	459
335	232	458
336	232	458
337	233	457
338	234	456
339	234	455
340	235	455
341	236	454
342	237	455
343	238	454
344	239	455
345	240	454
346	241	454
347	242	454
348	243	453
349	244	453
350	244	452
351	245	452
352	246	451
353	247	451
354	248	451
355	249	451
356	251	452
357	252	452
358	254	453
359	254	453
360	255	452
361	256	452
362	257	451
363	257	450
364	258	449
365	261	452
366	261	451
367	262	451
368	264	452
369	265	452
370	266	452
371	267	451
372	268	450
373	269	450
374	269	449
375	270	449
376	271	448
377	272	448
378	272	447
379	273	446
380	274	445
381	275	445
382	275	444
383	276	443
384	277	442
385	278	442
386	279	442
387	280	441
388	280	441
389	281	440
390	282	439
391	283	438
392	283	438
393	284	437
394	285	436
395	285	435
396	286	435
397	287	434
398	287	433
399	288	432
400	289	432
401	289	431
402	291	431
403	291	430
404	292	429
405	294	430
406	295	431
407	297	431
408	298	431
409	299	430
410	300	429
411	300	429
412	301	429
413	302	428
414	303	427
415	304	427
416	305	427
417	306	427
418	307	426
419	308	425
420	309	425
421	310	424
422	310	423
423	311	423
424	312	422
425	312	421
426	313	420
427	314	419
428	314	418
429	315	417
430	315	417
431	316	416
432	317	415
433	318	415
434	319	415
435	321	415
436	322	414
437	322	414
438	323	413
439	325	414
440	326	413
441	326	412
442	327	411
443	328	410
444	328	410
445	329	409
446	330	408
447	331	407
448	332	408
449	333	407
450	334	407
451	335	406
452	336	405
453	336	405
454	337	404
455	338	403
456	339	403
457	340	402
458	340	401
459	341	400
460	342	399
461	342	399
462	343	398
463	344	397
464	344	396
465	345	396
466	346	395
467	347	395
468	348	394
469	349	393
470	349	392
471	350	392
472	351	391
473	351	390
474	352	389
475	353	388
476	353	387
477	354	386
478	355	386
479	355	385
480	356	384
481	356	383
482	357	382
483	358	381
484	359	381
485	359	380
486	360	379
487	361	378
488	361	378
489	362	377
490	363	376
491	363	375
492	364	374
493	364	373
494	365	372
495	366	372
496	366	371
497	367	370
498	368	369
499	368	368
500	369	367
501	369	366
502	370	365
503	370	364
504	371	364
505	372	363
506	372	362
507	374	362
508	375	361
509	375	361
510	376	360
511	377	359
512	377	358
513	378	357
514	378	356
515	379	356
516	380	355
517	380	354
518	381	353
519	381	352
520	382	351
521	382	350
522	383	349
523	384	348
524	384	348
525	385	347
526	386	346
527	387	346
528	387	345
529	388	344
530	389	343
531	390	343
532	390	342
533	391	341
534	392	340
535	392	339
536	393	339
537	393	338
538	394	337
539	395	336
540	395	335
541	396	334
542	396	334
543	397	333
544	398	332
545	398	331
546	399	330
547	400	330
548	401	330
549	402	329
550	403	328
551	404	327
552	404	327
553	405	326
554	405	325
555	406	324
556	407	323
557	407	323
558	408	322
559	409	321
560	409	320
561	410	319
562	411	319
563	411	318
564	412	317
565	412	316
566	413	315
567	414	315
568	415	314
569	416	313
570	416	313
571	417	312
572	418	311
573	418	310
574	419	309
575	420	309
576	420	308
577	421	307
578	421	306
579	422	305
580	423	305
581	423	304
582	424	303
583	425	302
584	425	301
585	426	301
586	426	300
587	427	299
588	428	299
589	429	298
590	430	297
591	430	296
592	431	296
593	432	295
594	432	294
595	433	293
596	434	293
597	435	292
598	436	291
599	436	291
600	437	290
601	437	289
602	438	288
603	439	287
604	439	287
605	440	286
606	441	285
607	442	285
608	443	284
609	443	283
610	444	283
611	445	282
612	445	281
613	446	280
614	447	279
615	447	279
616	448	278
617	448	277
618	449	276
619	449	275
620	450	275
621	451	274
